German 2
Felix Becker
Chapter 3: Health and sport

Vocab: Sport, outdoor pursuits and healthy lifestyle 

German                         English
------------------------------------------------------------
Auge                           eye
Bauch                          tummy
Bein                           leg
Gesicht                        face
Haare                          hair
Hals                           neck / throat
Knie                           knee
Körper                         body
Mund                           mouth
Nase                           nose
Ohr                            ear
Schulter                       shoulder

angeln                         to fish
Angelrute                      fishing rod
Bad                            bath
baden                          to bathe
Badeanzug/-hose                swimming costume / trunks
Badeort                        seaside resort
bewegen                        to move

Endspiel                       final (e.g. sport)
Freibad                        swimming pool (open air)
Fuß (zu Fuß gehen)             foot (go on foot)
Fußball                        football
gewinnen                       to win
Hallenbad                      indoor swimming pool

joggen                         to jog
Kanufahren                     canoeing
kegeln                         to play skittles
klettern                       to climb
laufen                         to run
Leichtathletik                 athletics
Liga                           league
Mannschaft                     team
Netz                           net

Reiten                         horse riding
rennen                         to run
Rennen                         race
Rollbrett                      skateboard
Roller                         scooter
Rollschuh laufen               to roller skate
Ruderboot                      rowing boat
rudern                         to row

schießen                       to shoot
schlagen                       to hit
Schläger                       racquet / stick / bat
Schließfach                    locker
Schlittschuhlaufen             to ice skate
Schwimmbad                     swimming pool
schwimmen                      to swim
